artist,title,album,added_at,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Samuel Kim,The Cost of Freedom (0sk x Ashes on The Fire),Attack on Titan: Final Season Tribute,2021-03-27T04:31:17Z,0.123,0.648,7,-8.364,0,0.0568,0.00405,0.646,0.176,0.171,87.571,audio_features,56l3dkwdzTQgc7gSBaDi5D,spotify:track:56l3dkwdzTQgc7gSBaDi5D,https://api.spotify.com/v1/tracks/56l3dkwdzTQgc7gSBaDi5D,https://api.spotify.com/v1/audio-analysis/56l3dkwdzTQgc7gSBaDi5D,337105,4
Iron Maiden,Aces High - 2015 Remaster,Powerslave (2015 Remaster),2021-03-17T15:23:50Z,0.3,0.936,2,-5.399,1,0.0456,0.0337,0.021,0.158,0.756,133.065,audio_features,3wFGRek61NIF330UwJCI52,spotify:track:3wFGRek61NIF330UwJCI52,https://api.spotify.com/v1/tracks/3wFGRek61NIF330UwJCI52,https://api.spotify.com/v1/audio-analysis/3wFGRek61NIF330UwJCI52,271907,4
Covet,farewell,technicolor,2021-03-17T14:54:26Z,0.603,0.667,9,-7.183,1,0.0292,0.44,0.716,0.102,0.42,132.909,audio_features,2xuJguzAvbR5jXc4DEmwcS,spotify:track:2xuJguzAvbR5jXc4DEmwcS,https://api.spotify.com/v1/tracks/2xuJguzAvbR5jXc4DEmwcS,https://api.spotify.com/v1/audio-analysis/2xuJguzAvbR5jXc4DEmwcS,281200,4
Covet,odessa,technicolor,2021-03-14T16:29:05Z,0.509,0.68,2,-7.028,1,0.0272,0.506,0.936,0.084,0.141,118.009,audio_features,0EWo6CgKq5cXwp8eAWgzAe,spotify:track:0EWo6CgKq5cXwp8eAWgzAe,https://api.spotify.com/v1/tracks/0EWo6CgKq5cXwp8eAWgzAe,https://api.spotify.com/v1/audio-analysis/0EWo6CgKq5cXwp8eAWgzAe,406000,4
Covet,ares,technicolor,2021-03-14T16:22:08Z,0.216,0.87,6,-4.888,0,0.0366,0.0453,0.878,0.505,0.542,91.819,audio_features,1K8pzG6uVlueLwEQXS61Au,spotify:track:1K8pzG6uVlueLwEQXS61Au,https://api.spotify.com/v1/tracks/1K8pzG6uVlueLwEQXS61Au,https://api.spotify.com/v1/audio-analysis/1K8pzG6uVlueLwEQXS61Au,360360,5
Covet,predawn (feat. Phillip Jamieson),technicolor,2021-03-14T16:18:02Z,0.476,0.667,11,-7.124,0,0.0307,0.318,0.672,0.0863,0.152,144.959,audio_features,1fYxa98icc3VreeIRoT4CX,spotify:track:1fYxa98icc3VreeIRoT4CX,https://api.spotify.com/v1/tracks/1fYxa98icc3VreeIRoT4CX,https://api.spotify.com/v1/audio-analysis/1fYxa98icc3VreeIRoT4CX,207800,3
Covet,parachute,technicolor,2021-03-14T16:09:58Z,0.555,0.873,0,-5.087,1,0.0332,0.031,0.885,0.0961,0.345,133.018,audio_features,4qk9PaFeiMTxCA67UyCIQb,spotify:track:4qk9PaFeiMTxCA67UyCIQb,https://api.spotify.com/v1/tracks/4qk9PaFeiMTxCA67UyCIQb,https://api.spotify.com/v1/audio-analysis/4qk9PaFeiMTxCA67UyCIQb,373858,4
Ayasa,The reason why,CHRONICLE V,2021-03-11T11:11:26Z,0.453,0.599,2,-5.667,1,0.0257,0.259,0.196,0.132,0.202,138.036,audio_features,4OTwltj2jymfgKOQBnCRw6,spotify:track:4OTwltj2jymfgKOQBnCRw6,https://api.spotify.com/v1/tracks/4OTwltj2jymfgKOQBnCRw6,https://api.spotify.com/v1/audio-analysis/4OTwltj2jymfgKOQBnCRw6,290465,4
Harry Styles,Watermelon Sugar,Fine Line,2021-03-11T05:08:58Z,0.548,0.816,0,-4.209,1,0.0465,0.122,0,0.335,0.557,95.39,audio_features,6UelLqGlWMcVH1E5c4H7lY,spotify:track:6UelLqGlWMcVH1E5c4H7lY,https://api.spotify.com/v1/tracks/6UelLqGlWMcVH1E5c4H7lY,https://api.spotify.com/v1/audio-analysis/6UelLqGlWMcVH1E5c4H7lY,174000,4
Covet,nero,nero,2021-03-10T15:29:31Z,0.255,0.848,6,-4.553,0,0.0343,0.0159,0.892,0.0997,0.554,156.959,audio_features,2DVR5wEXbauarRJhluXAZs,spotify:track:2DVR5wEXbauarRJhluXAZs,https://api.spotify.com/v1/tracks/2DVR5wEXbauarRJhluXAZs,https://api.spotify.com/v1/audio-analysis/2DVR5wEXbauarRJhluXAZs,397800,4
